species,p_value,mean_control,mean_diseased
Granulicatella_balaenopterae,,2.410000524657354e-06,0.0
Psychrobacter_sanguinis,,0.0,0.0
Sphingobacterium_kyonggiense,,0.0,0.0
Stomatobaculum_longum,0.18587673236587576,0.007092281284142556,0.004863550719391179
Albidiferax_ferrireducens,,0.0,0.0
Xylanibacter_oryzae,,0.0,0.0
Cellvibrio_mixtus,,0.0,0.0
Eubacterium_brachy,0.3067609561706547,0.0027679731795851575,0.002136263283242222
Campylobacter_mucosalis,,0.0,0.0
Acinetobacter_calcoaceticus,,0.0,0.0
Veillonella_rogosae,0.9698499769931556,0.009358276240646177,0.010536771236982783
Haemophilus_pittmaniae,0.3844942826161789,0.0011384655059655273,0.0008909312311867654
Bacillus_endophyticus,,0.0,0.0
Bosea_minatitlanensis,,0.0,1.5600010310826822e-06
Cellulosilyticum_ruminicola,,0.0,0.0
Lampropedia_hyalina,,0.0,0.0
Treponema_pectinovorum,1.0,1.0947205654915481e-05,1.3520823570551828e-05
Veillonella_tobetsuensis,0.9077677647776123,9.840615142477217e-05,8.245144392750383e-05
Neisseria_oralis,0.21212191786139534,0.01501858757622907,0.00547651080328006
Mogibacterium_timidum,0.5036312588983317,6.739994941372282e-06,1.5739990042701476e-05
Prevotella_histicola,0.47267559351158717,0.016890623130472873,0.02018945033294855
Staphylococcus_kloosii,,0.0,0.0
Acinetobacter_schindleri,,0.0,0.0
Lactobacillus_johnsonii,,0.0,3.829999533848077e-06
Hydrocarboniphaga_daqingensis,,0.0,0.0
Cellvibrio_fibrivorans,,0.0,0.0
Treponema_calligyrum,,0.0,0.0
Austwickia_chelonae,,0.0,0.0
Prevotella_fusca,0.8941551428492122,0.0007242249364430467,0.0002185192550938209
Campylobacter_rectus,0.9568829891119314,6.0500030831989595e-06,7.159997544685639e-06
Streptococcus_equinus,0.18587673236587576,0.00014347633425291145,0.0002216290470801571
Dorea_formicigenerans,,0.0,0.0
Sphingomonas_koreensis,,0.0,0.0
Tetragenococcus_halophilus,,0.0,0.0
Lactobacillus_iners,,0.0,0.0
Lactobacillus_amylovorus,,0.0,0.0
Moraxella_lacunata,,2.629999900743013e-06,0.0
Lysobacter_pocheonensis,,0.0,4.690003099857552e-06
Flavisolibacter_ginsengiterrae,,0.0,0.0
Arthrobacter_uratoxydans,,0.0,0.0
Morococcus_cerebrosus,0.5036312588983317,2.410000524657354e-06,1.3980010034892723e-05
Lysinibacillus_sphaericus,,0.0,0.0
Mycoplasma_phocidae,,0.0,0.0
Actinobaculum_schaalii,,0.0,0.0
Aerococcus_urinae,,0.0,0.0
Dechloromonas_agitata,,0.0,0.0
Staphylococcus_gallinarum,,0.0,0.0
Flectobacillus_roseus,,0.0,0.0
Capnocytophaga_ochracea,0.6231762238821174,0.002334160541003456,0.0035451034940913915
Rhodobacter_blasticus,,0.0,3.1200020621653644e-06
Tepidicella_xavieri,,0.0,0.0
Veillonella_denticariosi,0.2795593530933159,3.900004206491889e-06,5.685872731346354e-05
Streptococcus_caballi,,2.690001571082503e-06,0.0
Acholeplasma_parvum,,0.0,0.0
Mycoplasma_faucium,0.21160560249578764,0.001048115176441824,0.0006746511023013248
Aeromonas_salmonicida,,0.0,0.0
Ralstonia_mannitolilytica,,0.0,0.0
Leptotrichia_wadei,0.47267559351158717,0.009364533324294894,0.010581328034744961
Pisum_sativum,,0.0,0.0
Dolosigranulum_pigrum,,0.0,0.0
Deinococcus_ficus,,0.0,3.2799197018629285e-05
Deinococcus_alpinitundrae,,0.0,0.0
Dialister_propionicifaciens,,0.0,0.0
Eubacterium_saphenum,0.171996585262853,0.0009802679926803712,0.0009599989143171579
Fusobacterium_russii,0.4562028338837304,7.109998719793739e-06,0.0001001215530017929
Luteibacter_yeojuensis,,0.0,1.5600010310826822e-06
Allisonella_histaminiformans,,0.0,2.4917099687322357e-05
Aureimonas_ureilytica,,0.0,0.0
Cedecea_davisae,,0.0,0.0
Bacillus_megaterium,,0.0,0.0
Prevotella_buccae,0.9698045577720108,0.0005529384858052721,0.0006310309361685171
